Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
163,GRAVITA.NS,SOLD,2024-10-23,2198.65,7,"Close < ST(15,3) (T-1)",60.92,103.53,134.97,101.46,98.0,2018.13,Up,-1.45,-226.79,44.0
164,POWERINDIA.NS,SOLD,2024-10-23,13811.2,1,"Close < ST(15,3) (T-1)",59.03,-2.68,98.86,159.74,98.0,12838.87,Up,0.75,103.05,15.0
165,TECHNOE.NS,SOLD,2024-10-23,1532.3,10,"Close < ST(15,3) (T-1)",56.54,59.19,99.67,222.67,98.0,1475.21,Up,-5.3,-857.5,78.0
166,TRENT.NS,SOLD,2024-10-23,7430.66,2,"Close < ST(15,3) (T-1)",56.52,32.56,91.41,146.18,99.0,7315.96,Up,-1.68,-253.88,15.0
167,POWERINDIA.NS,BOUGHT,2024-10-08,13708.15,1,Entry,59.03,-2.68,98.86,159.74,98.0,12838.87,Up,,,
168,SARDAEN.NS,BOUGHT,2024-10-08,459.28,36,Entry,66.82,86.61,122.03,84.17,97.0,430.51,Up,,,
169,TRENT.NS,BOUGHT,2024-10-08,7557.6,2,Entry,56.52,32.56,91.41,146.18,99.0,7315.96,Up,,,
170,INOXWIND.NS,SOLD,2024-10-08,203.98,75,"Close < ST(15,3) (T-1)",65.15,53.38,47.13,249.11,99.0,194.84,Up,-8.14,-1355.98,39.0
171,PCBL.NS,SOLD,2024-10-08,498.45,30,"Close < ST(15,3) (T-1)",60.95,108.63,96.77,113.1,99.0,506.34,Up,-9.28,-1529.65,1.0
172,WOCKPHARMA.NS,SOLD,2024-10-08,930.18,17,"Close < ST(15,3) (T-1)",63.16,69.29,104.81,305.83,99.0,788.69,Up,-0.48,-76.06,60.0
173,PCBL.NS,BOUGHT,2024-10-07,549.43,30,Entry,60.95,108.63,96.77,113.1,99.0,506.34,Up,,,
174,SUZLON.NS,SOLD,2024-10-07,75.26,335,"Close < ST(15,3) (T-1)",61.61,12.15,24.39,125.35,96.0,44.34,Up,51.44,8564.12,123.0
175,ANANTRAJ.NS,BOUGHT,2024-09-27,729.98,22,Entry,76.94,66.8,137.28,140.65,99.0,655.79,Up,,,
176,PTCIL.NS,SOLD,2024-09-27,12835.5,1,"Close < ST(15,3) (T-1)",58.82,96.59,75.53,179.6,97.0,12929.49,Up,-11.86,-1726.85,46.0
177,GRAVITA.NS,BOUGHT,2024-09-09,2231.05,7,Entry,60.92,103.53,134.97,101.46,98.0,2018.13,Up,,,
178,GVT&D.NS,SOLD,2024-09-09,1572.3,9,"Close < ST(15,3) (T-1)",62.7,52.12,170.0,376.07,99.0,1506.33,Up,-7.86,-1207.72,34.0
179,INOXWIND.NS,BOUGHT,2024-08-30,222.05,75,Entry,65.15,53.38,47.13,249.11,99.0,194.84,Up,,,
180,PGEL.NS,SOLD,2024-08-30,491.28,37,"Close < ST(15,3) (T-1)",60.43,101.27,116.81,130.25,98.0,380.66,Up,11.66,1897.81,23.0
181,PTCIL.NS,BOUGHT,2024-08-12,14562.35,1,Entry,58.82,96.59,75.53,179.6,97.0,12929.49,Up,,,
182,IFCI.NS,SOLD,2024-08-12,67.77,230,"Close < ST(15,3) (T-1)",61.74,70.77,140.4,212.16,99.0,65.18,Up,-6.27,-1041.96,20.0
183,WOCKPHARMA.NS,BOUGHT,2024-08-09,934.65,17,Entry,63.16,69.29,104.81,305.83,99.0,788.69,Up,,,
184,RVNL.NS,SOLD,2024-08-09,535.31,28,"Close < ST(15,3) (T-1)",61.38,107.57,157.53,242.68,99.0,544.2,Up,-7.61,-1234.03,14.0
185,PGEL.NS,BOUGHT,2024-08-07,439.99,37,Entry,60.43,101.27,116.81,130.25,98.0,380.66,Up,,,
186,FORCEMOT.NS,SOLD,2024-08-07,8208.75,1,"Close < ST(15,3) (T-1)",57.68,-4.84,170.02,165.91,99.0,8424.57,Up,-5.68,-494.55,2.0
187,GVT&D.NS,BOUGHT,2024-08-06,1706.49,9,Entry,62.7,52.12,170.0,376.07,99.0,1506.33,Up,,,
188,TECHNOE.NS,BOUGHT,2024-08-06,1618.05,10,Entry,56.54,59.19,99.67,222.67,98.0,1475.21,Up,,,
189,COCHINSHIP.NS,SOLD,2024-08-06,2389.0,6,"Close < ST(15,3) (T-1)",60.55,148.11,292.0,389.13,99.0,2456.4,Up,-8.92,-1404.03,18.0
190,HUDCO.NS,SOLD,2024-08-06,297.11,50,"Close < ST(15,3) (T-1)",60.67,67.49,155.1,259.76,99.0,295.75,Up,-9.61,-1578.91,14.0
191,FORCEMOT.NS,BOUGHT,2024-08-05,8703.3,1,Entry,57.68,-4.84,170.02,165.91,99.0,8424.57,Up,,,
