Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
TATAINVEST,Financial Services,284.4,284.4,1500.0,81.56
TMPV,Automobile and Auto Components,,,-38.3,-3.65
TATAPOWER,Power,-25.1,-25.1,-9.4,13.24
TATASTEEL,Metals & Mining,723.1,723.1,6.3,9.04
TATATECH,Information Technology,-96.1,-96.1,3.7,11.48
TTML,Telecommunication,,,-11.6,47.55
TECHM,Information Technology,14.1,14.1,8.3,13.14
TECHNOE,Construction,24.2,24.2,37.1,13.38
TEJASNET,Telecommunication,,,-88.4,-77.81
NIACL,Financial Services,8.9,8.9,12.7,4.57
RAMCOCEM,Construction Materials,111.4,111.4,6.2,4.51
THERMAX,Capital Goods,76.2,76.2,5.1,7.65
TIMKEN,Capital Goods,-26.6,-26.6,16.1,9.22
TITAGARH,Capital Goods,-23.5,-23.5,-7.8,9.56
TITAN,Consumer Durables,60.8,60.8,43.3,9.86
TORNTPHARM,Healthcare,26.2,26.2,17.6,26.7
TORNTPOWER,Power,35.2,35.2,4.3,14.61
TARIL,Capital Goods,34.9,34.9,31.7,15.87
TRENT,Consumer Services,3.1,3.1,14.8,13.36
TRIDENT,Textiles,-44.5,-44.5,-5.6,4.29
TRIVENI,Fast Moving Consumer Goods,74.8,74.8,16.5,7.75
TRITURBINE,Capital Goods,-0.3,-0.3,24.0,19.98
TIINDIA,Automobile and Auto Components,-14.3,-14.3,20.7,7.28
UCOBANK,Financial Services,15.5,15.5,0.5,38.63
UNOMINDA,Automobile and Auto Components,19.0,19.0,19.9,7.46
UPL,Chemicals,-52.2,-52.2,12.5,13.09
UTIAMC,Financial Services,-19.7,-19.7,23.8,56.01
ULTRACEMCO,Construction Materials,17.4,17.4,27.0,12.52
UNIONBANK,Financial Services,9.7,9.7,15.8,46.39
UBL,Fast Moving Consumer Goods,110.9,110.9,3.6,7.56
UNITDSPR,Fast Moving Consumer Goods,24.8,24.8,7.6,14.05
USHAMART,Capital Goods,16.2,16.2,6.6,16.04
VGUARD,Consumer Durables,-5.2,-5.2,10.6,6.89
DBREALTY,Consumer Services,1264.4,1264.4,141.4,17.35
VTL,Textiles,-21.0,-21.0,1.6,6.63
VBL,Fast Moving Consumer Goods,36.0,36.0,14.0,9.71
MANYAVAR,Consumer Services,-14.6,-14.6,-3.8,35.36
VEDL,Metals & Mining,61.0,61.0,-40.4,23.68
VENTIVE,Consumer Services,423.7,423.7,28.4,33.07
VIJAYA,Healthcare,22.8,22.8,21.4,30.07
VMM,Consumer Services,19.1,19.1,17.0,11.92
IDEA,Telecommunication,,,1.9,-6.61
VOLTAS,Consumer Durables,-35.7,-35.7,-1.1,5.1
WAAREEENER,Capital Goods,115.6,115.6,118.8,21.95
