DATE,Equity,Benchmark_Value,Drawdown,Daily_Return
2022-04-27,269535.51113243646,126208.11377632378,-0.0619694993672677,-0.003463365724357015
2022-04-28,268297.17950554437,127558.63630718076,-0.06627910900290557,-0.004594317170636741
2022-04-29,267512.78502007073,126442.03507015259,-0.06900893836309274,-0.002923603173612288
2022-05-02,263868.1084899194,126039.61794470166,-0.08169304716886117,-0.013624307824681714
2022-05-04,260176.33692162106,123106.3638602877,-0.09454105490588638,-0.0139909729501827
2022-05-05,259567.88547508785,123124.75615797429,-0.09665857186164584,-0.002338611780503652
2022-05-06,257436.18134392332,120988.64363319543,-0.10407727333424932,-0.008212511063388495
2022-05-09,254460.72328697753,119671.48115545392,-0.11443238535285516,-0.011558041458712864
2022-05-10,250723.04386931396,118509.98500468118,-0.1274401603975056,-0.0146886300148108
2022-05-11,247008.6198214624,117790.24645261273,-0.14036700270681635,-0.014814849048289558
2022-05-12,243493.68343199708,115168.32502213633,-0.15259959323728012,-0.014230015098282478
2022-05-13,246292.3716498468,115221.78129152519,-0.14285967103157637,0.011493884270026067
2022-05-16,248648.39806197144,116074.5173713247,-0.13466028897025195,0.009565973953404416
2022-05-17,252801.16371748902,119109.5471811298,-0.12020794155788617,0.016701356967852243
2022-05-18,254012.3033924768,119042.40944779423,-0.11599296464856623,0.004790878559171707
2022-05-19,252673.90097243286,115900.89307885812,-0.12065083806512322,-0.0052690456413678755
2022-05-20,256380.21296889283,118844.40408496106,-0.10775222710683585,0.014668361006799469
2022-05-23,253162.69383437134,118337.63865115466,-0.11894975381443029,-0.012549795076860604
2022-05-24,252622.79301650025,117580.2718969617,-0.12082870264885981,-0.0021326239253257606
2022-05-25,247805.16131789185,116216.067902158,-0.13759489963389937,-0.019070455365813865
2022-05-26,249628.04226637818,117369.0110498285,-0.13125095659827346,0.007356105654909628
2022-05-27,249232.43302870728,118657.09832854774,-0.13262774561471224,-0.001584794857497407
2022-05-30,249150.9787318323,121066.04664076208,-0.13291122074774875,-0.0003268206143363095
2022-05-31,249194.6447321985,120764.9792610556,-0.13275925546491074,0.00017525919660621447
2022-06-01,251508.51030226686,120451.0907292379,-0.12470660047348137,0.009285374380958222
2022-06-02,250844.3542964075,121178.52197257309,-0.1270179789929834,-0.0026406899912101434
